cf,FIPS,tc_dev,dev_tc,tc_pdev,pdev_tc,tc_net,tc_gain,tc_loss,tc_net verbiage ,WTTC_IMP,WTTC_PDEV,WTTC_loss
mont_24031,24031,660.0673,66.6588,4082.5021,130.2406,-4545.67,196.8994,4742.5694,Net Loss,1.9037,8.6094,10.5131
char_51036,51036,61.7869,4.7267,130.498,83.3593,-104.1989,88.086,192.2849,Net Loss,7.6381,0.5466,8.1847
stma_24037,24037,345.2756,17.8499,638.8136,105.5236,-860.7157,123.3735,984.0892,Net Loss,3.2623,4.8698,8.1321
dorc_24019,24019,106.3209,9.6285,128.4452,38.5711,-186.5665,48.1996,234.7661,Net Loss,7.3636,0.5606,7.9242
newp_51700,51700,70.7221,32.6356,187.2261,24.5726,-200.74,57.2082,257.9482,Net Loss,6.2281,0.8468,7.0749
onei_36065,36065,234.1106,71.641,351.1512,165.0664,-348.5544,236.7074,585.2618,Net Loss,2.267,4.7971,7.0641
kent_10001,10001,261.4067,17.3361,297.2014,107.8786,-433.3934,125.2147,558.6081,Net Loss,1.4017,5.4782,6.8799
char_51037,51037,292.843,21.9513,1037.1868,26.3605,-1281.718,48.3118,1330.0298,Net Loss,5.5031,1.1975,6.7006
rich_51760,51760,101.5432,61.297,85.5894,45.8015,-80.0341,107.0985,187.1326,Net Loss,4.6141,1.9638,6.5779
dinw_51053,51053,100.8872,18.1365,711.8403,30.9422,-763.6488,49.0787,812.7275,Net Loss,3.9064,2.0162,5.9226
cumb_51049,51049,268.3271,5.1254,487.4915,9.3594,-741.3338,14.4848,755.8186,Net Loss,5.6928,0.0899,5.7827
fauq_51061,51061,171.0414,39.3408,319.6459,59.282,-392.0645,98.6228,490.6873,Net Loss,2.9986,2.6475,5.6461
west_51193,51193,27.2586,10.0775,217.5452,16.1035,-218.6228,26.181,244.8038,Net Loss,0.802,4.5512,5.3532
math_51115,51115,22.4596,6.1644,82.5182,11.4994,-87.314,17.6638,104.9778,Net Loss,1.8141,3.4252,5.2393
herk_36043,36043,141.8635,27.7882,320.2557,73.2,-361.131,100.9882,462.1192,Net Loss,3.1392,1.9998,5.139
culp_51047,51047,106.1227,18.9567,202.5768,38.9639,-250.7789,57.9206,308.6995,Net Loss,4.4684,0.4015,4.8699
newc_10003,10003,353.4904,77.43,586.4464,212.5919,-649.9149,290.0219,939.9368,Net Loss,3.4965,1.3433,4.8398
fair_51059,51059,506.5894,156.587,648.9051,261.4328,-737.4747,418.0198,1155.4945,Net Loss,3.1209,1.5454,4.6663
spot_51177,51177,259.5956,27.9695,1322.4931,67.6693,-1486.4499,95.6388,1582.0887,Net Loss,2.2586,2.3772,4.6358
poca_54075,54075,78.581,6.9438,289.6855,10.2337,-351.089,17.1775,368.2665,Net Loss,1.5313,2.8625,4.3938
albe_51003,51003,317.848,13.1131,1138.6118,16.1,-1427.2467,29.2131,1456.4598,Net Loss,3.0045,1.0289,4.0334
york_51199,51199,77.3381,21.7952,247.597,35.5256,-267.6143,57.3208,324.9351,Net Loss,2.2891,1.6672,3.9563
alle_36003,36003,32.7112,25.2412,377.5496,162.7196,-222.3,187.9608,410.2608,Net Loss,0.1983,3.289,3.4873
wayn_42127,42127,321.5753,11.7421,430.1298,35.9701,-703.9929,47.7122,751.7051,Net Loss,3.1152,0.2449,3.3601
calv_24009,24009,427.4168,25.0837,849.7616,153.4344,-1098.6603,178.5181,1277.1784,Net Loss,0.7709,2.463,3.2339
rich_51159,51159,20.0124,7.4306,248.6369,10.7284,-250.4903,18.159,268.6493,Net Loss,0.2031,2.6532,2.8563
susq_42115,42115,639.1391,10.9295,283.9669,37.1715,-875.005,48.101,923.106,Net Loss,1.5312,1.319,2.8502
loui_51109,51109,184.7562,17.4958,1461.133,30.389,-1598.0044,47.8848,1645.8892,Net Loss,0.9239,1.8744,2.7983
char_24017,24017,501.366,12.3259,934.2009,79.7799,-1343.4611,92.1058,1435.5669,Net Loss,1.9135,0.879,2.7925
prin_51149,51149,67.1608,9.6756,393.1445,25.6593,-424.9704,35.3349,460.3053,Net Loss,1.3931,1.3974,2.7905
jame_51095,51095,175.5876,20.818,361.1834,22.0501,-493.9029,42.8681,536.771,Net Loss,1.3571,1.3694,2.7265
lune_51111,51111,261.2844,16.735,1118.3074,29.0096,-1333.8472,45.7446,1379.5918,Net Loss,2.5108,0.0388,2.5496
lack_42069,42069,358.1967,38.5883,746.9683,154.4008,-912.1759,192.9891,1105.165,Net Loss,2.3278,0.1959,2.5237
otse_36077,36077,51.517,24.7125,102.6191,63.9987,-65.4249,88.7112,154.1361,Net Loss,1.3337,1.1375,2.4712
caro_24011,24011,53.2571,7.3531,94.1109,35.5822,-104.4327,42.9353,147.368,Net Loss,0.8527,1.5793,2.432
pott_42105,42105,132.1915,7.0395,174.152,19.0983,-280.2057,26.1378,306.3435,Net Loss,1.148,1.2788,2.4268
king_51097,51097,20.8077,21.9683,230.9879,7.2747,-222.5526,29.243,251.7956,Net Loss,1.236,1.1248,2.3608
adam_42001,42001,189.5041,11.731,246.0027,134.2799,-289.4959,146.0109,435.5068,Net Loss,0.7656,1.5388,2.3044
ches_42029,42029,687.0595,59.5414,684.9131,344.5337,-967.8975,404.0751,1371.9726,Net Loss,1.3709,0.7463,2.1172
esse_51057,51057,13.2979,10.6632,674.059,11.3662,-665.3275,22.0294,687.3569,Net Loss,2.0222,0.0175,2.0397
fluv_51065,51065,123.6505,10.2554,676.9071,19.2183,-771.0839,29.4737,800.5576,Net Loss,1.7153,0.3056,2.0209
